Index,Name,Type,Offset
86,cureRequirementBaseMultipler,System.Double,544
87,infectedPointsPotChange,System.Double,552
88,difficulty,System.Int32,560
89,difficultyVariable,System.Double,568
90,_zday,System.Int32,576
91,_zdayDone,System.Int32,580
92,_firstFortSelected,System.Int32,584
93,zdayCounter,System.Int32,588
94,zombieDecreaseTurnCount,System.Int32,592
95,zdayLength,System.Int32,596
96,daysUntilMinifortPlaneSpawn,System.Int32,600
97,fortSelectionDay,System.Int32,604
98,numAliveForts,System.Int32,608
99,zdayDead,System.Double,616
100,zdayInfected,System.Double,624
101,zombieConversionMod,System.Double,632
102,zombieCombatStrength,System.Double,640
103,humanCombatStrength,System.Double,648
104,zombieDecay,System.Double,656
105,zombieInfect,System.Double,664
106,zombieDecayTechMultiplier,System.Double,672
107,globalZombieDecayMultiplier,System.Double,680
108,hiZombifiedPopulation,System.Double,688
109,fortDifficultyModifier,System.Double,696
110,globalDecayChance,System.Double,704
111,globalBattleVictoryCount,System.Double,712
112,_hotDecayFlag,System.Int32,720
113,_ep2,System.Int32,724
114,hordeSpeed,System.Double,728
115,hordeSize,System.Double,736
116,reanimateSize,System.Double,744
117,hordeWaterSpeed,System.Double,752
118,reanimateZombieCombatStrengthMod,System.Double,760
119,wimpFlag,System.Double,768
120,aaCostModifier,System.Int32,776
121,_zombieWin,System.Int32,780
122,_zombieLoss,System.Int32,784
123,_isSpeedRun,System.Int32,788
124,_showExtraPopups,System.Int32,792
125,wormPlaneChance,System.Double,800
126,wormBubbleLastDay,System.Int32,808
127,numWormBubblesWithoutTouch,System.Int32,812
128,daysToGameWin,System.Int32,816
129,wormBubbleHiddenStatus,System.Int32,820
130,totalInfected,System.Int64,824
131,totalControlledInfected,System.Int64,832
132,totalDead,System.Int64,840
133,totalKilled,System.Int64,848
134,totalZombie,System.Int64,856
135,totalHealthy,System.Int64,864
136,totalUninfected,System.Int64,872
137,infectedThisTurn,System.Int64,880
138,deadThisTurn,System.Int64,888
139,zombiesThisTurn,System.Int64,896
140,infectedApesThisTurn,System.Int64,904
141,averageInfected,System.Double,912
142,averageDead,System.Double,920
143,globalPriority,System.Double,928
144,globalAwareness,System.Double,936
145,cureResearchAllocationAverage,System.Double,944
146,publicOrderAverage,System.Double,952
147,bonusPriority,System.Double,960
148,priorityCounter,System.Int32,968
149,recentEventCounter,System.Int32,972
150,globalDeadPercent,System.Double,976
151,globalHealthyPercent,System.Double,984
152,globalUninfectedPercent,System.Double,992
153,globalKilledPercent,System.Double,1000
154,infectedCountryCount,System.Int32,1008
155,uninfectedCountryCount,System.Int32,1012
156,lethalityDelayTurns,System.Int32,1016
157,turnsUntilGameEnd,System.Int32,1020
158,totalFlaskBroken,System.Int32,1024
159,totalFlaskResearched,System.Int32,1028
160,totalFlaskEmpty,System.Int32,1032
161,diseaseType,Disease+EDiseaseType,1036
162,zombieTechMummy,System.Double,1040
163,_t2,System.Int32,1048
164,_isScenario,System.Int32,1052
165,numCheats,System.Int32,1056
166,cheatFlags,System.Int32,1060
167,countryOrigin,System.Int32,1064
168,populationImmunity,System.Double,1072
169,apeTotalHealthy,System.Double,1080
170,apeTotalInfected,System.Double,1088
171,apeTotalDead,System.Double,1096
172,apeTotalAliveGlobal,System.Double,1104
173,apeTotalHealthyPercent,System.Double,1112
174,apeTotalInfectedPercent,System.Double,1120
175,apeTotalDeadPercent,System.Double,1128
176,apeXSpeciesInfectiousness,System.Double,1136
177,apeInfectiousness,System.Double,1144
178,apeRescueAbility,System.Double,1152
179,apeStrength,System.Double,1160
180,apeLethality,System.Double,1168
181,apeIntelligence,System.Double,1176
182,apeSurvival,System.Double,1184
183,apeSpeed,System.Double,1192
184,changeToHumanImmunity,System.Double,1200
185,apeHordeStash,System.Int64,1208
186,apeHordeSpeed,System.Double,1216
187,daysSinceGlobalDrone,System.Int32,1224
188,apePriorityLevelGlobal,System.Double,1232
189,migrationCountryDistanceMax,System.Double,1240
190,migrationDistanceWaterMod,System.Double,1248
191,migrationDistanceLandMod,System.Double,1256
192,apeNoticed,System.Int32,1264
193,intelligentApeNoticed,System.Int32,1268
194,apeTotalLabs,System.Int32,1272
195,apeMaxLabs,System.Int32,1276
196,apeTotalColonies,System.Int32,1280
197,apeMaxColonies,System.Int32,1284
198,apeDaysSinceLastColonyBubble,System.Int32,1288
199,apeColonyChance,System.Int32,1292
200,apeNumCreateColonyAAUsed,System.Int32,1296
201,labBaseResearch,System.Double,1304
202,labCounter,System.Int32,1312
203,labSpawnThreshold,System.Int32,1316
204,apeBonusPriorityGlobal,System.Double,1320
205,labDayCounter,System.Int32,1328
206,apeTotalDestroyedLabs,System.Int32,1332
207,apeEscapeFlag,System.Int32,1336
208,genSysWorking,System.Int32,1340
209,simianNarrativePath,System.Int32,1344
210,colonyDNABoost,System.Double,1352
211,colonyInfectionBoost,System.Double,1360
212,droneAttackFlag,System.Int32,1368
213,apeHumanResponse,System.Int32,1372
214,apeColonyBonusPoints,System.Int32,1376
215,apeSlowDeathFlag,System.Int32,1380
216,apeInfectiousnessBonusFlag,System.Int32,1384
217,labDestroyDnaFlag,System.Int32,1388
218,reducedLabResearchFlag,System.Int32,1392
219,droneThreshold,System.Int32,1396
220,apeTotalPopulation,System.Int64,1400
221,noIdeaFlag,System.Int32,1408
222,sporeCounter,System.Double,1416
223,decayPercentReduction,System.Double,1424
224,geneCompressionCounter,System.Double,1432
225,nucleicAcidFlag,System.Double,1440
226,replicationOverloadFlag,System.Double,1448
227,interceptorOverloadFlag,System.Double,1456
228,apeIntelligenceFlag,System.Double,1464
229,recomputePathsFlag,System.Double,1472
230,transcendenceFlag,System.Int32,1480
231,nexusCountryNumber,System.Int32,1484
232,superCureCountryNumber,System.Int32,1488
233,trojanInfectiousness,System.Int32,1492
234,trojanLethality,System.Int32,1496
235,trojanPublicOrder,System.Int32,1500
236,trojanDna,System.Int32,1504
237,trojanInfected,System.Int32,1508
238,migrationCounter,System.Int32,1512
239,incomeRemainder,System.Double,1520
240,infectedIncome,System.Double,1528
241,infectedIncomeTurnDNA,System.Double,1536
242,corpseIncome,System.Double,1544
243,corpseIncomeTurnDNA,System.Double,1552
244,corpseIncomeMultiplier,System.Double,1560
245,globalDeadPriority,System.Double,1568
246,researchFocusPriority,System.Double,1576
247,researchFocusMod,System.Double,1584
248,coopLabCounter,System.Int32,1592
249,isDefeated,System.Boolean,1596
250,defeatType,System.Int32,1600
251,isPartnerDefeated,System.Boolean,1604
252,debug1,System.Double,1608
253,debug2,System.Double,1616
254,debug3,System.Double,1624
255,debug4,System.Double,1632
