Index,Name,Type,Offset
86,cureRequirementBaseMultipler,System.Single,344
87,infectedPointsPotChange,System.Single,348
88,difficulty,System.Int32,352
89,difficultyVariable,System.Single,356
90,_zday,System.Int32,360
91,_zdayDone,System.Int32,364
92,_firstFortSelected,System.Int32,368
93,zdayCounter,System.Int32,372
94,zombieDecreaseTurnCount,System.Int32,376
95,zdayLength,System.Int32,380
96,daysUntilMinifortPlaneSpawn,System.Int32,384
97,fortSelectionDay,System.Int32,388
98,numAliveForts,System.Int32,392
99,zdayDead,System.Single,396
100,zdayInfected,System.Single,400
101,zombieConversionMod,System.Single,404
102,zombieCombatStrength,System.Single,408
103,humanCombatStrength,System.Single,412
104,zombieDecay,System.Single,416
105,zombieInfect,System.Single,420
106,zombieDecayTechMultiplier,System.Single,424
107,globalZombieDecayMultiplier,System.Single,428
108,hiZombifiedPopulation,System.Single,432
109,fortDifficultyModifier,System.Single,436
110,globalDecayChance,System.Single,440
111,globalBattleVictoryCount,System.Single,444
112,_hotDecayFlag,System.Int32,448
113,_ep2,System.Int32,452
114,hordeSpeed,System.Single,456
115,hordeSize,System.Single,460
116,reanimateSize,System.Single,464
117,hordeWaterSpeed,System.Single,468
118,reanimateZombieCombatStrengthMod,System.Single,472
119,wimpFlag,System.Single,476
120,aaCostModifier,System.Int32,480
121,_zombieWin,System.Int32,484
122,_zombieLoss,System.Int32,488
123,_isSpeedRun,System.Int32,492
124,_showExtraPopups,System.Int32,496
125,wormPlaneChance,System.Single,500
126,wormBubbleLastDay,System.Int32,504
127,numWormBubblesWithoutTouch,System.Int32,508
128,daysToGameWin,System.Int32,512
129,wormBubbleHiddenStatus,System.Int32,516
130,totalInfected,System.Int64,520
131,totalControlledInfected,System.Int64,528
132,totalDead,System.Int64,536
133,totalKilled,System.Int64,544
134,totalZombie,System.Int64,552
135,totalHealthy,System.Int64,560
136,totalUninfected,System.Int64,568
137,infectedThisTurn,System.Int64,576
138,deadThisTurn,System.Int64,584
139,zombiesThisTurn,System.Int64,592
140,infectedApesThisTurn,System.Int64,600
141,averageInfected,System.Double,608
142,averageDead,System.Double,616
143,globalPriority,System.Single,624
144,globalAwareness,System.Single,628
145,cureResearchAllocationAverage,System.Single,632
146,publicOrderAverage,System.Single,636
147,bonusPriority,System.Single,640
148,priorityCounter,System.Int32,644
149,recentEventCounter,System.Int32,648
150,globalDeadPercent,System.Single,652
151,globalHealthyPercent,System.Single,656
152,globalUninfectedPercent,System.Single,660
153,globalKilledPercent,System.Single,664
154,infectedCountryCount,System.Int32,668
155,uninfectedCountryCount,System.Int32,672
156,lethalityDelayTurns,System.Int32,676
157,turnsUntilGameEnd,System.Int32,680
158,totalFlaskBroken,System.Int32,684
159,totalFlaskResearched,System.Int32,688
160,totalFlaskEmpty,System.Int32,692
161,diseaseType,Disease+EDiseaseType,696
162,zombieTechMummy,System.Single,700
163,_t2,System.Int32,704
164,_isScenario,System.Int32,708
165,numCheats,System.Int32,712
166,cheatFlags,System.Int32,716
167,countryOrigin,System.Int32,720
168,populationImmunity,System.Single,724
169,apeTotalHealthy,System.Single,728
170,apeTotalInfected,System.Single,732
171,apeTotalDead,System.Single,736
172,apeTotalAliveGlobal,System.Single,740
173,apeTotalHealthyPercent,System.Single,744
174,apeTotalInfectedPercent,System.Single,748
175,apeTotalDeadPercent,System.Single,752
176,apeXSpeciesInfectiousness,System.Single,756
177,apeInfectiousness,System.Single,760
178,apeRescueAbility,System.Single,764
179,apeStrength,System.Single,768
180,apeLethality,System.Single,772
181,apeIntelligence,System.Single,776
182,apeSurvival,System.Single,780
183,apeSpeed,System.Single,784
184,changeToHumanImmunity,System.Single,788
185,apeHordeStash,System.Int64,792
186,apeHordeSpeed,System.Single,800
187,daysSinceGlobalDrone,System.Int32,804
188,apePriorityLevelGlobal,System.Single,808
189,migrationCountryDistanceMax,System.Single,812
190,migrationDistanceWaterMod,System.Single,816
191,migrationDistanceLandMod,System.Single,820
192,apeNoticed,System.Int32,824
193,intelligentApeNoticed,System.Int32,828
194,apeTotalLabs,System.Int32,832
195,apeMaxLabs,System.Int32,836
196,apeTotalColonies,System.Int32,840
197,apeMaxColonies,System.Int32,844
198,apeDaysSinceLastColonyBubble,System.Int32,848
199,apeColonyChance,System.Int32,852
200,apeNumCreateColonyAAUsed,System.Int32,856
201,labBaseResearch,System.Single,860
202,labCounter,System.Int32,864
203,labSpawnThreshold,System.Int32,868
204,apeBonusPriorityGlobal,System.Single,872
205,labDayCounter,System.Int32,876
206,apeTotalDestroyedLabs,System.Int32,880
207,apeEscapeFlag,System.Int32,884
208,genSysWorking,System.Int32,888
209,simianNarrativePath,System.Int32,892
210,colonyDNABoost,System.Single,896
211,colonyInfectionBoost,System.Single,900
212,droneAttackFlag,System.Int32,904
213,apeHumanResponse,System.Int32,908
214,apeColonyBonusPoints,System.Int32,912
215,apeSlowDeathFlag,System.Int32,916
216,apeInfectiousnessBonusFlag,System.Int32,920
217,labDestroyDnaFlag,System.Int32,924
218,reducedLabResearchFlag,System.Int32,928
219,droneThreshold,System.Int32,932
220,apeTotalPopulation,System.Int64,936
221,noIdeaFlag,System.Int32,944
222,sporeCounter,System.Single,948
223,decayPercentReduction,System.Single,952
224,geneCompressionCounter,System.Single,956
225,nucleicAcidFlag,System.Single,960
226,replicationOverloadFlag,System.Single,964
227,interceptorOverloadFlag,System.Single,968
228,apeIntelligenceFlag,System.Single,972
229,recomputePathsFlag,System.Single,976
230,transcendenceFlag,System.Int32,980
231,nexusCountryNumber,System.Int32,984
232,superCureCountryNumber,System.Int32,988
233,trojanInfectiousness,System.Int32,992
234,trojanLethality,System.Int32,996
235,trojanPublicOrder,System.Int32,1000
236,trojanDna,System.Int32,1004
237,trojanInfected,System.Int32,1008
238,migrationCounter,System.Int32,1012
239,_isVampire,System.Int32,1016
240,_vday,System.Int32,1020
241,_vdayDone,System.Int32,1024
242,_shadowDay,System.Int32,1028
243,vampireBonus,System.Int32,1032
244,_shadowDayDone,System.Int32,1036
245,shadowDayCounter,System.Int32,1040
246,vdayCounter,System.Int32,1044
247,shadowDayLength,System.Int32,1048
248,vdayLength,System.Int32,1052
249,vampireInfectionBoost,System.Int32,1056
250,castleHealingMod,System.Single,1060
251,castleColdClimateResearchMod,System.Single,1064
252,vampireStealthMod,System.Int32,1068
253,vampireConversionMod,System.Single,1072
254,_shadowPlagueActive,System.Int32,1076
255,castleWealthyResearchMod,System.Single,1080
256,massHypnosisCost,System.Single,1084
257,vampireHypnosisImpact,System.Single,1088
258,numCastleBubblesWithoutTouch,System.Int32,1092
259,castleDnaCounter,System.Int32,1096
260,castleReturnSpeed,System.Single,1100
261,castleColdResearch,System.Single,1104
262,castleHotResearch,System.Single,1108
263,castleWealthyResearch,System.Single,1112
264,castleHeatClimateResearchMod,System.Single,1116
265,vcomAlert,System.Single,1120
266,pulseCastles,System.Int32,1124
267,vampireActivity,System.Single,1128
268,vampireLabLastspawn,System.Int32,1132
269,vampireConversionPot,System.Int64,1136
270,vampireConversionPotTrigger,System.Int64,1144
271,purityEnabledFlag,System.Int32,1152
272,vampLabWorking,System.Int32,1156
273,vampLabsDestroyed,System.Int32,1160
274,vampLabsCurrent,System.Int32,1164
275,globalVampireActivityBonus,System.Single,1168
276,vampireNarrativeStory,System.Int32,1172
277,vampHealthIncrease,System.Int32,1176
278,vampLabFortDnaBonus,System.Int32,1180
279,vampRageCostZero,System.Int32,1184
280,vampBloodRageCasulatiesIncreased,System.Int32,1188
281,vampBloodRageBonusDna,System.Int32,1192
282,vampBatRangeBonus,System.Int32,1196
283,vampFlightCostsZero,System.Int32,1200
284,vampMoreHealthFasterFlight,System.Int32,1204
285,vampFlyFasterLoseHealth,System.Int32,1208
286,vampAutomaticBloodRage,System.Int32,1212
287,vampHealingBonus,System.Int32,1216
288,vampLairDefenseBonus,System.Int32,1220
289,vampActivityLairCountryBonus,System.Int32,1224
290,vampLairDnaQuicker,System.Int32,1228
291,castleNumber,System.Int32,1232
292,fortDestroyedNumber,System.Int32,1236
293,numberOfFortsCreated,System.Int32,1240
294,fortDamageBonus,System.Single,1244
295,fortCureBonus,System.Single,1248
296,numberOfFortsToSpawn,System.Single,1252
297,maxVampLabs,System.Int32,1256
298,vampHealSacrificeMod,System.Single,1260
299,lairDroneAttackTimer,System.Int32,1264
300,lairDroneAttackDuration,System.Single,1268
301,templarDestroyed,System.Int32,1272
302,vampireHordeStash,System.Int64,1280
303,_vampireWin,System.Int32,1288
304,_vampireLoss,System.Int32,1292
305,brexitExecute,System.Int32,1296
306,deadBodyTransmission,System.Single,1300
307,_isFakeNews,System.Int32,1304
308,_fakeNewsStarted,System.Int32,1308
309,fakeNewsInformDropPercent,System.Single,1312
310,hqCountryNumber,System.Int32,1316
311,teamTravelTargetCountryNumber,System.Int32,1320
312,_isCure,System.Int32,1324
313,cureDiseaseDiscoveredTurn,System.Int32,1328
314,preSimulate,System.Int32,1332
315,totalHealthyRecovered,System.Int64,1336
316,totalInfectedIntel,System.Int64,1344
317,totalDeadIntel,System.Int64,1352
318,totalHealthyRecoveredIntel,System.Int64,1360
319,totalInfectedIntelGUI,System.Int64,1368
320,totalDeadIntelGUI,System.Int64,1376
321,totalHealthyRecoveredIntelGUI,System.Int64,1384
322,totalHealthyRecoveredGUI,System.Int64,1392
323,numCountriesIntel,System.Int32,1400
324,autoHqCounter,System.Int32,1404
325,nextIntelSpread,System.Int32,1408
326,intelTimeReduction,System.Int32,1412
327,_intelInfectedFound,System.Int32,1416
328,vaccineStage,Disease+EVaccineProgressStage,1420
329,vaccineKnowledge,System.Single,1424
330,vaccineKnowledgeMonths,System.Single,1428
331,vaccineKnowledgeMonthsStart,System.Single,1432
332,vaccineDevMonths,System.Single,1436
333,vaccineManMonths,System.Single,1440
334,vaccineReleaseMonths,System.Single,1444
335,developmentSpeed,System.Single,1448
336,understandingSpeed,System.Single,1452
337,manufactureSpeed,System.Single,1456
338,manufactureSpeedAuthBonus,System.Single,1460
339,manufactureProgress,System.Single,1464
340,_manufactureSet,System.Int32,1468
341,totalVaccineDuration,System.Int32,1472
342,vaccineFailCount,System.Int32,1476
343,_skipDevSuccess,System.Int32,1480
344,_skipDevFired,System.Int32,1484
345,barPulseCounter,System.Int32,1488
346,globalMedicalCapacityMultiplier,System.Single,1492
347,globalInfectMod,System.Single,1496
348,globalInfectModMAX,System.Single,1500
349,globalLethalityMod,System.Single,1504
350,medicalCapacityEffectivenessMulti,System.Single,1508
351,economyDefenseEffectivenessMulti,System.Single,1512
352,contactTracingEffectiveness,System.Single,1516
353,contactTracingEffectivenessMod,System.Single,1520
354,contactTracingEffectivenessMult,System.Single,1524
355,lockdownEffectiveness,System.Single,1528
356,lockdownEffectivenessMod,System.Single,1532
357,lockdownEffectivenessMult,System.Single,1536
358,globalLocalPriorityMultiplier,System.Single,1540
359,globalPriorityAlertModifier,System.Single,1544
360,highestLocalPriority,System.Single,1548
361,estimatedDeathRate,System.Single,1552
362,connectedLocalPriorityMultiplier,System.Single,1556
363,influencePoints,System.Single,1560
364,globalBaseInfluence,System.Single,1564
365,quarantineInfluence,System.Single,1568
366,alertLevel,System.Int32,1572
367,teamHighestInfectedPerc,System.Single,1576
368,globalUnrestMod,System.Single,1580
369,reproductionVisual,System.Single,1584
370,mortalityVisual,System.Single,1588
371,unrestVisual,System.Single,1592
372,medicalAidDuration,System.Single,1596
373,investigatorsDuration,System.Single,1600
374,tempLockdownDuration,System.Single,1604
375,_easyIntel,System.Int32,1608
376,landTravelRestriction,System.Single,1612
377,airTravelRestriction,System.Single,1616
378,oceanTravelRestriction,System.Single,1620
379,seaScreeningChance,System.Single,1624
380,airScreeningChance,System.Single,1628
381,landScreeningChance,System.Single,1632
382,globalInfectedPercMAX,System.Single,1636
383,infectedCountriesMAX,System.Int32,1640
384,turnsSinceKnowledge,System.Int32,1644
385,turnsSinceDeadBubble,System.Int32,1648
386,numTotalDeadBubbles,System.Int32,1652
387,deadBubbleChance,System.Single,1656
388,numTotalDeadBubblesDNA,System.Int32,1660
389,quarantinesActiveCount,System.Int32,1664
390,supportsActiveCount,System.Int32,1668
391,globalAvgCompliance,System.Single,1672
392,globalUnrestCount,System.Single,1676
393,lockdownTimerMAX,System.Int32,1680
394,supportTimerMAX,System.Int32,1684
395,economyTimeMulti,System.Single,1688
396,totalLockdownPopulation,System.Int64,1696
397,totalActiveLockdowns,System.Int32,1704
398,spreadCountries,System.Int32,1708
399,_isNexusContinentBorder,System.Int32,1712
400,startingAuthority,System.Single,1716
401,baseLethality,System.Single,1720
402,baseInfectivity,System.Single,1724
403,authority,System.Single,1728
404,lowestAuthority,System.Single,1732
405,authorityDeduction,System.Single,1736
406,authorityMod,System.Single,1740
407,authorityModHighest,System.Single,1744
408,authorityGainHold,System.Single,1748
409,authLossInfected,System.Single,1752
410,authLossInfectedDelay,System.Single,1756
411,authLossInfectedHighest,System.Single,1760
412,authLossInfectedActual,System.Single,1764
413,authLossInfectedPermanencePerc,System.Single,1768
414,authLossInfectedYesterday,System.Single,1772
415,authLossInfMulti,System.Single,1776
416,authLossDead,System.Single,1780
417,authLossDeadDelay,System.Single,1784
418,authLossDeadHighest,System.Single,1788
419,authLossDeadActual,System.Single,1792
420,authLossDeadPermanencePerc,System.Single,1796
421,authLossDeadYesterday,System.Single,1800
422,authLossDeadMulti,System.Single,1804
423,authLossSpread,System.Single,1808
424,authLossSpreadYesterday,System.Single,1812
425,authLossCompliance,System.Single,1816
426,authLossComplianceMulti,System.Single,1820
427,authCensorship,System.Single,1824
428,authCensorshipTimer,System.Single,1828
429,authSpreadMod,System.Single,1832
430,authFreezeCount,System.Int32,1836
431,authWinMin,System.Single,1840
432,authLossDaysToTrack,System.Int32,1844
433,complianceReturnPerc,System.Single,1848
434,globalBorderClosedNum,System.Int32,1852
435,globalAirportClosedNum,System.Int32,1856
436,globalPortClosedNum,System.Int32,1860
437,globalBorderClosedPerc,System.Single,1864
438,globalAirportClosedPerc,System.Single,1868
439,globalPortClosedPerc,System.Single,1872
440,infectedCountriesIntel,System.Int32,1876
441,diseaseDNAComplexity,System.Single,1880
442,globalVaccineSpeed,System.Single,1884
443,bonusLethality,System.Single,1888
444,scoreDeadImpactMulti,System.Single,1892
445,narrativeEventCounter,System.Single,1896
446,narrativeEventGap,System.Single,1900
447,cureBioweaponStrengthMod,System.Single,1904
448,cureBioweaponImpact,System.Single,1908
449,bioweaponLethalityGain,System.Single,1912
450,bioweaponInfectivityGain,System.Single,1916
451,prionIncubationMonths,System.Int32,1920
452,prionVaccineSpeedMulti,System.Single,1924
453,prionInfectedThresholdMulti,System.Single,1928
454,preSimMAX,System.Int32,1932
455,nanovirusPauseTimer,System.Int32,1936
456,nanovirusEndTimer,System.Int32,1940
457,_nanovirusHeatWeak,System.Int32,1944
458,_nanovirusColdWeak,System.Int32,1948
459,_isNanovirus,System.Int32,1952
460,_isPrion,System.Int32,1956
461,_isFungus,System.Int32,1960
462,fungusBloom,System.Single,1964
463,fungusSporeMulti,System.Single,1968
464,fungusSporesReleased,System.Int32,1972
465,localPopUpper,System.Single,1976
466,localPopLower,System.Single,1980
467,localPopThreshold,System.Single,1984
468,nationalPopUpper,System.Single,1988
469,nationalPopLower,System.Single,1992
470,nationalPopThreshold,System.Single,1996
471,reproductionBarScale,System.Single,2000
472,mortalityBarScale,System.Single,2004
473,diseaseLengthMulti,System.Int32,2008
474,publicOrderAuthorityLossMod,System.Single,2012
475,averageCountryInfectedPerc,System.Single,2016
476,averageCountryDeadPerc,System.Single,2020
477,maxAuthLossPerCountry,System.Single,2024
478,genericFlags,Disease+EGenericDiseaseFlag,2032
479,cureScenario,Disease+ECureScenario,2040
480,vaccineDevResearched,System.Int32,2044
481,vaccinePrepManResearched,System.Int32,2048
482,declareKnowledgeResearched,System.Int32,2052
483,skipDevResearched,System.Int32,2056
484,NorthAmericaAlertResearched,System.Int32,2060
485,SouthAmericaAlertResearched,System.Int32,2064
486,EuropeAlertResearched,System.Int32,2068
487,AfricaAlertResearched,System.Int32,2072
488,AsiaAlertResearched,System.Int32,2076
489,teamCt1Researched,System.Int32,2080
490,teamAidResearched,System.Int32,2084
491,teamFieldResearchersResearched,System.Int32,2088
492,aaLockdownsResearched,System.Int32,2092
493,aaMedicalAidResearched,System.Int32,2096
494,borderMonitoringResearched,System.Int32,2100
495,damageLimitationResearched,System.Int32,2104
496,totalPopulation,System.Int64,2112
